,Nom scientifique,Nom français,Nom arabe,Noms vernaculaires,Origine géographique,Mois de débourrement,Période de croissance végétative,Période de floraison,Période de fructification,Période de maturité des fruits,Période de chute des feuilles,Famille botanique,Type de plante,Hauteur moyenne ou maximale,Type de feuilles,Forme des feuilles,Bord des feuilles,Disposition des feuilles,Couleur des fleurs,Structure florale,Type de fruit,Type de racine,intérêts,score
plante1,Vicia faba,Fève,فول,['Loubia beldia'],"['Moyen-Orient', 'Afrique du Nord']",Mars,Mars à Juin,Avril à Mai,Mai à Juillet,Juin à Juillet,Juillet à Août,Fabaceae,Annuelle,0.5 à 1.8 mètres,Composées,Ovales,Entier,Alterne,Blanc avec des taches noires,Papilionacée,Gousse,Pivotante,"['- Culinaire: Utilisée pour ses graines comestibles, riches en protéines, consommées fraîches, sèches ou en purée.', '- Agricole: Utilisée comme engrais vert pour enrichir le sol en azote grâce à la fixation symbiotique.', '- Médicinal: Utilisée dans certaines médecines traditionnelles pour ses propriétés diurétiques et digestives.']",0.88422
plante2,Salvia × lavandulacea,Sauge lavandulacée,,,"['Méditerranée', 'Europe du Sud']",Mars à avril,Avril à septembre,Mai à juillet,Juillet à août,Août à septembre,Octobre à novembre,Lamiaceae,Arbuste vivace,"0,5 à 1 mètre",Persistantes,Lancéolées,Dentelées,Opposées,Bleu lavande,Inflorescence en épis,Akène,Racinaire fibreux,"['- Ornemental: Utilisée dans les jardins pour ses fleurs attrayantes et son feuillage aromatique.', '- Culinaire: Les feuilles peuvent être utilisées pour aromatiser des plats.', '- Médicinal: Traditionnellement utilisée pour ses propriétés antiseptiques et anti-inflammatoires.']",0.71752
plante3,Pittosporum heterophyllum,Pittospore à feuilles variables,,,"['Chine', 'Himalaya']",Mars à avril,Avril à septembre,Avril à mai,Juin à août,Août à septembre,Novembre à décembre,Pittosporaceae,Arbuste,1 à 3 mètres,Persistantes,Elliptiques à lancéolées,Entier,Alternes,Jaune pâle,Petites fleurs en grappes,Capsule,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses feuilles persistantes et sa floraison parfumée.', '- Écologique: Peut être utilisé pour la stabilisation des sols et la création de haies.']",0.74492
plante4,Ficus elastica,Figuier caoutchouc,فيكس المطاط,,"['Inde', 'Népal', 'Bhoutan', 'Birmanie', 'Malaisie', 'Indonésie']",,Toute l'année dans les climats tropicaux,,,,,Moraceae,Arbre,Jusqu'à 30-40 mètres dans son habitat naturel,Persistantes,Ovale à elliptique,Entier,Alterne,Inconspicue,Inflorescence en sycone,Sycone,Racines aériennes et adventives,"[""- Ornemental: Utilisé comme plante d'intérieur populaire pour son feuillage brillant et sa capacité à purifier l'air."", '- Industriel: Source de latex utilisé pour produire du caoutchouc naturel.']",0.81768
plante5,Pinus halepensis,Pin d'Alep,صنوبر حلبي,['زريبت'],"['Méditerranée', 'Afrique du Nord', 'Espagne', 'Italie', 'Grèce', 'Maroc']",Mars à Avril,Avril à Septembre,Avril à Mai,Mai à Juin,Octobre à Novembre,,Pinaceae,Conifère,15 à 25 mètres,Aiguilles,Aiguilles fines et longues,Lisse,Fasciculées par deux,Jaune,Cônes mâles et femelles séparés,Cône,Pivotante avec racines latérales étendues,"['- Ornemental: Utilisé dans les parcs et jardins pour sa résistance à la sécheresse et son aspect esthétique.', ""- Écologique: Joue un rôle important dans la stabilisation des sols et la prévention de l'érosion."", '- Industriel: Le bois est utilisé pour la fabrication de meubles et de papier.']",0.44956
plante6,Argania spinosa,Arganier,الأركان,"['Targant', 'Aghram']","['Maroc', 'Algérie']",Mars à avril,Avril à septembre,Mai à juin,Juin à juillet,Juillet à août,Novembre à décembre,Sapotaceae,Arbre,8 à 10 mètres,Persistantes,Elliptique,Entier,Alternée,Jaune verdâtre,Petites et hermaphrodites,Drupe,Pivotante,"[""- Médicinal: L'huile d'argan est utilisée pour ses propriétés anti-inflammatoires et antioxydantes."", ""- Culinaire: L'huile d'argan est utilisée comme huile alimentaire, notamment dans les salades et les plats traditionnels marocains."", ""- Cosmétique: L'huile d'argan est prisée pour ses propriétés hydratantes et est utilisée dans de nombreux produits de soins de la peau et des cheveux."", ""- Écologique: L'arganier joue un rôle crucial dans la prévention de l'érosion des sols et la conservation de la biodiversité dans les régions arides.""]",0.25537
plante7,Myoporum laetum,Myoporum,,,['Nouvelle-Zélande'],Mars à Avril,Printemps à Été,Printemps,Été,Fin Été à Automne,,Scrophulariaceae,Arbuste ou petit arbre,Jusqu'à 10 mètres,Persistantes,Lancéolées,Entier,Alternes,Blanc,Petites fleurs en grappes,Drupe,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour son feuillage persistant et sa floraison attrayante.', ""- Écologique: Planté pour la stabilisation des sols et la protection contre l'érosion.""]",0.83227
plante8,Pelargonium zonale,Géranium zonal,,,['Afrique du Sud'],Mars,Avril à septembre,Mai à octobre,Juin à novembre,Juillet à novembre,Novembre à février,Geraniaceae,Plante herbacée vivace,30 à 60 cm,Simples,Ronde à réniforme,Lobé,Alternée,"Rose, rouge, blanc, violet",Inflorescence en ombelle,Capsule,Fasciculée,"[""- Ornemental: Utilisé dans les jardins et les balcons pour ses fleurs colorées et sa facilité d'entretien."", '- Médicinal: Utilisé en médecine traditionnelle pour ses propriétés antiseptiques et anti-inflammatoires.']",0.29121
plante9,Kleinia neriifolia,Séneçon à feuilles de laurier,,,['Îles Canaries'],,Printemps à été,Automne,,,,Asteraceae,Succulente,Jusqu'à 2 mètres,Persistantes,Lancéolées,Entier,Alternes,Jaune,Capitules,Akène,Fasciculée,['- Ornemental: Utilisée dans les jardins secs et les rocailles pour son aspect graphique et sa résistance à la sécheresse.'],0.18036
plante10,Lavandula dentata,Lavande dentée,,,"['Méditerranée occidentale', 'Espagne', 'Portugal', 'Îles Canaries']",Mars,Mars à septembre,Mai à août,Juillet à septembre,Août à septembre,,Lamiaceae,Arbuste,0.6 à 1 mètre,Persistantes,Lancéolées,Denté,Opposée,Violet pâle,Épis,Akène,Fasciculée,"['- Ornemental: Utilisée dans les jardins pour ses fleurs attrayantes et son feuillage aromatique.', '- Médicinal: Utilisée en aromathérapie pour ses propriétés relaxantes et apaisantes.', '- Culinaire: Les fleurs peuvent être utilisées pour aromatiser des plats et des desserts.']",0.76595
plante11,Rosa abietina,Rosier des sapins,,,"['Europe', 'Asie occidentale']",Avril,Avril à Septembre,Mai à Juillet,Août à Octobre,Septembre à Octobre,Octobre à Novembre,Rosaceae,Arbuste,1 à 2 mètres,Caduques,Ovale à lancéolée,Denté,Alternée,Rose,Fleurs simples à cinq pétales,Cynorhodon,Pivotante,"['- Ornemental: Utilisé dans les jardins pour ses belles fleurs et son feuillage attrayant.', '- Écologique: Fournit un habitat et de la nourriture pour les insectes pollinisateurs et les oiseaux.']",0.92185
plante13,Argyranthemum frutescens,Marguerite des Canaries,,,"['Îles Canaries', 'Madère']",Mars,Avril à Septembre,Mai à Octobre,Juillet à Novembre,Août à Novembre,Novembre à Février,Asteraceae,Arbuste vivace,0.5 à 1 mètre,Persistantes,Lancéolées,Denté,Alternes,"Blanc, rose, jaune",Capitule,Akène,Fasciculée,"['- Ornemental: Utilisée dans les jardins pour ses fleurs abondantes et colorées.', '- Écologique: Attire les pollinisateurs tels que les abeilles et les papillons.']",0.72576
plante14,Melaleuca viminalis,Melaleuca à feuilles de saule,,,['Australie'],Septembre à Octobre,Printemps à Été,Printemps à Été,Été à Automne,Automne,,Myrtaceae,Arbre,Jusqu'à 10 mètres,Persistantes,Linéaires à lancéolées,Entier,Alternes,Rouge vif,Épis cylindriques,Capsule ligneuse,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses fleurs rouges vives et son feuillage attrayant.', '- Écologique: Planté pour la stabilisation des sols et la restauration des habitats.']",0.75094
plante15,Yucca gigantea,Yucca géant,,,"['Amérique centrale', 'Mexique']",Mars à avril,Avril à septembre,Juin à août,Août à octobre,Septembre à novembre,,Asparagaceae,Arbuste,Jusqu'à 10 mètres,Persistantes,Lancéolées,Lisse,Rosette,Blanc crème,Inflorescence en panicule,Capsule,Fasciculée,"['- Ornemental: Utilisé dans les jardins et les aménagements paysagers pour son aspect architectural et sa résistance à la sécheresse.', '- Écologique: Peut être utilisé pour la stabilisation des sols dans les régions arides.']",0.42189
plante16,Ficus retusa,Figuier à petites feuilles,,,"['Asie du Sud-Est', 'Malaisie', 'Indonésie', 'Philippines']",,Printemps à été,Été,Été à automne,Automne,,Moraceae,Arbre,Jusqu'à 15 mètres,Persistantes,Elliptique,Entier,Alterne,Inconspicue,Inflorescence en sycone,Sycone,Racines aériennes et racines pivotantes,"[""- Ornemental: Utilisé comme plante d'intérieur et pour le bonsaï en raison de son feuillage dense et de sa capacité à être taillé."", ""- Écologique: Fournit de l'ombre et un habitat pour la faune dans les régions tropicales.""]",0.71016
plante17,Washingtonia filifera,Palmier de Californie,,,"['Californie', 'Arizona', 'Mexique']",,Printemps à été,Printemps,Été,Fin été à début automne,,Arecaceae,Arbre,15-20 mètres,Persistantes,Palmées,Entier,En couronne,Blanc crème,Inflorescence en panicule,Drupe,Fasciculé,"['- Ornemental: Utilisé dans les jardins et parcs pour son aspect tropical et sa résistance à la sécheresse.', '- Écologique: Fournit un habitat pour la faune locale et contribue à la biodiversité.']",0.40256
plante18,Citrus maxima,Pamplemoussier,بوملي,,"['Asie du Sud-Est', 'Malaisie', 'Indonésie']",Mars à avril,Printemps à été,Avril à mai,Été à automne,Automne à hiver,,Rutaceae,Arbre fruitier,5 à 15 mètres,Persistantes,Ovale à elliptique,Entier,Alternée,Blanc,Fleurs solitaires ou en petites grappes,Agrume,Pivotante avec racines latérales,"['- Culinaire: Le fruit est consommé frais ou utilisé dans les salades, jus et desserts.', '- Médicinal: Utilisé dans la médecine traditionnelle pour ses propriétés digestives et antioxydantes.', '- Ornemental: Cultivé pour son feuillage dense et ses grands fruits décoratifs.']",0.30939
plante19,Gazania rigens,Gazanie,,,"['Afrique du Sud', 'Mozambique']",Mars,Mars à octobre,Mai à septembre,Juin à octobre,Juillet à novembre,,Asteraceae,Plante herbacée vivace,15 à 30 cm,Persistantes,Lancéolées,Lobé,Rosette basale,"Jaune, orange, rouge, rose",Capitule,Akène,Pivotante,"['- Ornemental: Utilisée pour la décoration des jardins et des espaces verts en raison de ses fleurs colorées et de sa résistance à la sécheresse.', ""- Écologique: Plante couvre-sol qui aide à prévenir l'érosion du sol dans les régions arides.""]",0.54883
plante20,Carissa macrocarpa,Carisse à gros fruits,,,['Afrique du Sud'],Mars à Avril,Printemps à Été,Printemps à Été,Été à Automne,Automne,,Apocynaceae,Arbuste,Jusqu'à 4 mètres,Persistantes,Ovale à elliptique,Entier,Opposée,Blanc,Tubulaire avec cinq lobes,Baie,Pivotante,"['- Ornemental: Utilisé dans les jardins pour ses fleurs blanches parfumées et ses fruits décoratifs.', '- Culinaire: Les fruits sont comestibles et peuvent être utilisés pour faire des confitures et des gelées.', '- Médicinal: Utilisé dans la médecine traditionnelle pour ses propriétés antioxydantes et anti-inflammatoires.']",0.83943
plante21,Yucca gigantea,Yucca géant,,,"['Amérique centrale', 'Mexique']",Mars à avril,Avril à septembre,Juin à août,Août à octobre,Octobre à novembre,,Asparagaceae,Arbuste,Jusqu'à 10 mètres,Persistantes,Lancéolées,Lisse,Rosette,Blanc crème,Inflorescence en panicule,Capsule,Fasciculée,"['- Ornemental: Utilisé dans les jardins et les aménagements paysagers pour son aspect architectural et sa résistance à la sécheresse.', '- Écologique: Peut être utilisé pour la stabilisation des sols dans les régions arides.']",0.26844
plante22,Brachychiton acerifolius,Brachychiton à feuilles d'érable,,,['Australie'],Septembre à Octobre,Octobre à Mars,Novembre à Décembre,Janvier à Mars,Mars à Avril,Juillet à Août,Malvaceae,Arbre,10 à 40 mètres,Persistantes,Palmées,Lobé,Alternes,Rouge vif,Fleurs en cloche,Capsule,Pivotante,"['- Ornemental: Utilisé dans les jardins et parcs pour sa floraison spectaculaire et sa résistance à la sécheresse.', ""- Écologique: Fournit de l'ombre et un habitat pour la faune locale.""]",0.20833
plante23,Melaleuca viminalis,Melaleuca à feuilles de saule,,,['Australie'],Septembre à Octobre,Printemps à Été,Printemps à Été,Été à Automne,Automne,,Myrtaceae,Arbre,Jusqu'à 10 mètres,Persistantes,Linéaires à lancéolées,Entier,Alternes,Rouge vif,Épis cylindriques,Capsule ligneuse,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses fleurs rouges vives et sa capacité à attirer les oiseaux.', ""- Écologique: Planté pour la stabilisation des sols et la prévention de l'érosion.""]",0.67983
plante24,Washingtonia robusta,Palmier du Mexique,,,"['Mexique', 'Sud-ouest des États-Unis']",,Printemps à été,Printemps,Été,Fin été à début automne,,Arecaceae,Arbre,Jusqu'à 30 mètres,Persistantes,Palmées,Entier,En couronne,Blanc crème,Inflorescence en panicule,Drupe,Fasciculée,"['- Ornemental: Utilisé dans les jardins et les parcs pour son aspect tropical et sa grande taille.', ""- Écologique: Fournit un habitat pour certaines espèces d'oiseaux et d'insectes.""]",0.68093
plante25,Bonellia macrocarpa,Bonellia à gros fruits,,,"['Amérique centrale', 'Amérique du Sud']",,,Printemps,Été,,,Theophrastaceae,Arbuste,Jusqu'à 5 mètres,Persistantes,Elliptique,Entier,Alterne,Blanc,Fleurs solitaires,Baie,Pivotante,"['- Ornemental: Utilisé dans les jardins pour son feuillage persistant et ses fleurs blanches attrayantes.', '- Écologique: Joue un rôle dans les écosystèmes locaux en fournissant de la nourriture pour la faune.']",0.05501
plante26,Jasminum mesnyi,Jasmin de Mesny,,,"['Chine', 'Vietnam']",Mars,Mars à septembre,Mars à mai,Non spécifié,Non spécifié,Non spécifié,Oleaceae,Arbuste,1 à 3 mètres,Persistantes,Ovale à lancéolée,Entier,Opposée,Jaune,Fleurs solitaires ou en petites grappes,Baie,Fasciculée,['- Ornemental: Utilisé dans les jardins pour ses fleurs jaunes attrayantes et sa capacité à couvrir les murs et les treillis.'],0.82708
plante27,Myoporum tenuifolium,Myoporum à feuilles étroites,,,"['Australie', 'Nouvelle-Zélande']",,,Printemps,,,,Scrophulariaceae,Arbuste,Jusqu'à 3 mètres,Persistantes,Linéaires à lancéolées,Entier,Alternes,Blanc,Petites fleurs en grappes,Drupe,Fasciculée,"['- Ornemental: Utilisé dans les jardins pour ses feuilles persistantes et sa floraison attrayante.', '- Écologique: Peut être utilisé pour la stabilisation des sols et la restauration des habitats.']",0.71138
plante28,Brachychiton populneus,Brachychiton à feuilles de peuplier,,,['Australie'],Mars à Avril,Printemps à Été,Printemps,Été à Automne,Automne,Hiver,Malvaceae,Arbre,10 à 20 mètres,Persistantes,Cordée à ovale,Entier,Alternes,Blanc crème à rose,Campanulée,Follicule,Pivotante,"['- Ornemental: Utilisé dans les parcs et jardins pour son feuillage persistant et sa résistance à la sécheresse.', '- Écologique: Planté pour la stabilisation des sols et la réhabilitation des paysages dégradés.', ""- Industriel: Le bois est utilisé pour la fabrication de meubles et d'objets décoratifs.""]",0.96162
